     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 08:35:17     -698.148575       5.5905       0.0000       0.1000       1.0000
Sella   1 08:36:28     -699.051950       5.5905       0.0000       0.1000       0.9596
Sella   2 08:36:33     -699.580988       4.6201       0.0000       0.1000       0.8866
Sella   3 08:36:40     -699.543335       3.4679       0.0000       0.0650      36.5542
Sella   4 08:36:47     -699.843065       3.1948       0.0000       0.0650       0.8445
Sella   5 08:36:54     -700.077843       2.3043       0.0000       0.0650       0.9364
Sella   6 08:37:02     -700.214342       1.3480       0.0000       0.0747       0.9764
Sella   7 08:37:10     -700.300551       0.9544       0.0000       0.0860       0.9965
Sella   8 08:37:16     -700.356402       0.6674       0.0000       0.0989       0.9901
Sella   9 08:37:23     -700.384248       0.3909       0.0000       0.0989       0.6971
Sella  10 08:37:31     -700.405247       0.5235       0.0000       0.0989       1.3477
Sella  11 08:37:40     -700.432881       0.3352       0.0000       0.0989       0.7524
Sella  12 08:37:48     -700.467256       0.6622       0.0000       0.0989       1.1147
Sella  13 08:37:55     -700.455749       0.3337       0.0000       0.0643      -0.4576
Sella  14 08:40:25     -700.483441       0.9978       0.0000       0.0643       1.4267
Sella  15 08:40:33     -700.507189       0.3817       0.0000       0.0739       0.9908
Sella  16 08:40:41     -700.515924       0.1998       0.0000       0.0739       0.9185
Sella  17 08:40:48     -700.517505       0.1667       0.0000       0.0739       0.9200
Sella  18 08:40:53     -700.495709       0.2538       0.0000       0.0739       1.4778
Sella  19 08:41:02     -700.521134       0.3904       0.0000       0.0739       0.9058
Sella  20 08:41:11     -700.523668       0.1452       0.0000       0.0739       0.4160
Sella  21 08:41:17     -700.519360       0.2222       0.0000       0.0480     -17.0862
Sella  22 08:41:27     -700.517344       0.1940       0.0000       0.0480       2.2558
Sella  23 08:45:38     -700.516790       0.2182       0.0000       0.0312      -0.2962
Sella  24 08:45:46     -700.519309       0.1783       0.0000       0.0312       0.9102
Sella  25 08:46:00     -700.520835       0.0648       0.0000       0.0312       1.0639
Sella  26 08:46:11     -700.522361       0.0420       0.0000       0.0359       1.0262
Sella  27 08:46:22     -700.523422       0.0203       0.0000       0.0359       0.7737
Sella  28 08:46:32     -700.523896       0.0578       0.0000       0.0359       0.6171
Sella  29 08:46:45     -700.522767       0.0284       0.0000       0.0359       1.1862
Sella  30 08:46:52     -700.522500       0.0471       0.0000       0.0413       0.9813
Sella  31 08:47:01     -700.522885       0.0400       0.0000       0.0413       3.3900
Sella  32 08:47:14     -700.524121       0.0445       0.0000       0.0413       0.9471
Sella  33 08:47:25     -700.525585       0.0402       0.0000       0.0475       1.0182
Sella  34 08:47:37     -700.528179       0.0377       0.0000       0.0475       0.9603
Sella  35 08:47:52     -700.529604       0.0429       0.0000       0.0475       0.8939
Sella  36 08:49:31     -700.527850       0.1084       0.0000       0.0475       1.4928
Sella  37 08:49:40     -700.529671       0.0748       0.0000       0.0475       0.8164
Sella  38 08:49:53     -700.531330       0.0547       0.0000       0.0546       1.0125
Sella  39 08:50:04     -700.533395       0.0770       0.0000       0.0546       1.1676
Sella  40 08:50:13     -700.534936       0.0912       0.0000       0.0546       1.0665
Sella  41 08:50:25     -700.534035       0.0711       0.0000       0.0355       6.8101
Sella  42 08:50:34     -700.533864       0.1339       0.0000       0.0231      -0.1417
