     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 02:43:12     -713.955437       9.3547       0.0000       0.1000       1.0000
Sella   1 02:43:35     -715.137148       9.3547       0.0000       0.1150       1.0266
Sella   2 02:43:37     -716.076716       4.5102       0.0000       0.1150       1.1125
Sella   3 02:43:39     -716.580443       3.2563       0.0000       0.1322       1.0298
Sella   4 02:43:41     -716.937956       1.9308       0.0000       0.1322       0.9119
Sella   5 02:43:44     -717.119538       0.7725       0.0000       0.1322       0.7463
Sella   6 02:43:46     -717.271280       1.0837       0.0000       0.1322       0.8863
Sella   7 02:43:48     -717.314162       0.8798       0.0000       0.1322       0.3873
Sella   8 02:43:50     -717.406924       1.5994       0.0000       0.1322       1.0642
Sella   9 02:43:52     -717.443339       0.5505       0.0000       0.1322       1.1803
Sella  10 02:43:53     -717.464016       0.3809       0.0000       0.1322       0.9549
Sella  11 02:43:56     -717.473997       0.3317       0.0000       0.1322       1.0197
Sella  12 02:43:57     -717.476785       0.2320       0.0000       0.1322       0.8008
Sella  13 02:43:59     -717.478312       0.1325       0.0000       0.1322       1.1592
