     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 02:37:27     -714.592783       8.7442       0.0000       0.1000       1.0000
Sella   1 02:38:37     -715.839894       8.7442       0.0000       0.1000       0.9385
Sella   2 02:38:43     -716.287478       4.3283       0.0000       0.1000       0.8898
Sella   3 02:38:49     -716.687378       2.4884       0.0000       0.1150       0.9665
Sella   4 02:38:53     -716.943901       1.2426       0.0000       0.1150       0.7961
Sella   5 02:38:56     -717.169704       2.6051       0.0000       0.1150       1.0690
Sella   6 02:38:59     -717.286868       0.4951       0.0000       0.1322       0.9876
Sella   7 02:39:01     -717.354444       0.3934       0.0000       0.1322       0.6607
Sella   8 02:39:03     -717.421028       0.7044       0.0000       0.1322       1.0423
Sella   9 02:39:05     -717.443056       0.4743       0.0000       0.1322       0.6104
Sella  10 02:39:06     -717.464216       0.6113       0.0000       0.1322       0.8902
Sella  11 02:39:07     -717.472740       0.5150       0.0000       0.1322       1.0123
Sella  12 02:39:09     -717.476604       0.3390       0.0000       0.1322       1.2440
Sella  13 02:39:10     -717.477902       0.0904       0.0000       0.1322       1.2958
