     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 02:41:19     -717.477902       0.0365       0.0000       0.1000       1.0000
Sella   1 02:42:22     -717.478839       0.0365       0.0000       0.1000       0.2027
Sella   2 02:42:25     -717.479642       0.2834       0.0000       0.1000       0.2713
Sella   3 02:42:27     -717.481006       0.1975       0.0000       0.1000       0.4156
Sella   4 02:42:29     -717.481181       0.3589       0.0000       0.0650       0.0657
Sella   5 02:42:32     -717.483400       0.1689       0.0000       0.0650       1.3148
Sella   6 02:42:34     -717.483045       0.1826       0.0000       0.0423      -0.1787
Sella   7 02:42:35     -717.485162       0.3627       0.0000       0.0423       0.8275
Sella   8 02:42:37     -717.486283       0.3572       0.0000       0.0423       0.7815
Sella   9 02:42:38     -717.487289       0.2694       0.0000       0.0423       0.5079
Sella  10 02:42:39     -717.488484       0.3233       0.0000       0.0423       0.6338
Sella  11 02:42:42     -717.487443       0.2599       0.0000       0.0275      -1.0254
Sella  12 02:42:44     -717.489478       0.4668       0.0000       0.0275       0.9348
Sella  13 02:42:45     -717.489742       0.2046       0.0000       0.0275       0.5594
Sella  14 02:42:46     -717.490462       0.1711       0.0000       0.0275       0.8881
Sella  15 02:42:48     -717.490835       0.0861       0.0000       0.0275       0.8290
Sella  16 02:42:49     -717.488314       0.0532       0.0000       0.0179      -3.2338
Sella  17 02:42:51     -717.491504       0.3445       0.0000       0.0205       1.0078
Sella  18 02:42:52     -717.492380       0.0817       0.0000       0.0205       1.1014
Sella  19 02:42:54     -717.492545       0.0829       0.0000       0.0205       0.8562
