     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 02:37:26     -714.619692       8.7825       0.0000       0.1000       1.0000
Sella   1 02:38:25     -715.887387       8.7825       0.0000       0.1000       0.9362
Sella   2 02:38:30     -716.345219       4.2599       0.0000       0.1000       0.8962
Sella   3 02:38:33     -716.734611       2.4943       0.0000       0.1150       0.9799
Sella   4 02:38:36     -717.000591       1.2229       0.0000       0.1150       0.8322
Sella   5 02:38:40     -717.227056       2.4780       0.0000       0.1150       1.0405
Sella   6 02:38:43     -717.335185       0.7058       0.0000       0.1322       0.9923
Sella   7 02:38:46     -717.391587       0.3559       0.0000       0.1322       0.5820
Sella   8 02:38:49     -717.448693       0.5032       0.0000       0.1322       0.8405
Sella   9 02:38:51     -717.477159       0.3189       0.0000       0.1375       1.0010
Sella  10 02:38:54     -717.486885       0.3642       0.0000       0.1375       0.5225
Sella  11 02:38:56     -717.498064       0.3409       0.0000       0.1375       1.2236
Sella  12 02:38:58     -717.503913       0.1674       0.0000       0.1375       1.4907
Sella  13 02:39:00     -717.510968       0.1588       0.0000       0.1375       1.3545
Sella  14 02:39:01     -717.515124       0.1002       0.0000       0.1375       1.2914
Sella  15 02:39:03     -717.517113       0.0700       0.0000       0.1375       1.3831
Sella  16 02:39:05     -717.518314       0.0643       0.0000       0.1375       1.2764
