     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 02:39:41     -755.510072       3.0677       0.0000       0.1000       1.0000
Sella   1 02:40:03     -755.383995       3.0677       0.0000       0.1000       1.2923
Sella   2 02:40:08     -755.216517       3.0347       0.0000       0.1000       1.0000
Sella   3 02:40:25     -755.039443       2.9426       0.0000       0.1000       1.1047
Sella   4 02:40:30     -754.801144       2.7786       0.0000       0.1150       0.9879
Sella   5 02:40:37     -754.534597       2.3866       0.0000       0.1150       1.0665
Sella   6 02:40:55     -754.291019       2.0066       0.0000       0.1150       1.4760
Sella   7 02:40:58     -754.224082       1.5687       0.0000       0.1322       0.9908
Sella   8 02:41:03     -754.172109       1.3796       0.0000       0.1322       1.4549
Sella   9 02:42:36     -754.078503       1.3172       0.0000       0.1322       1.2288
Sella  10 02:42:39     -754.173753       1.4003       0.0000       0.1322       0.3632
Sella  11 02:42:42     -754.392054       2.9854       0.0000       0.1322       0.8565
Sella  12 02:43:57     -754.509712       1.6141       0.0000       0.1322       0.8395
Sella  13 02:44:01     -754.449945       1.6712       0.0000       0.0860      -0.1445
Sella  14 02:44:04     -754.521170       5.0161       0.0000       0.0860       0.4363
Sella  15 02:45:24     -754.533247       1.9367       0.0000       0.0860       0.2035
Sella  16 02:45:26     -754.602361       2.6248       0.0000       0.0860       0.3152
Sella  17 02:45:29     -754.732925       2.6879       0.0000       0.0860       0.8428
Sella  18 02:46:15     -754.890657       1.8956       0.0000       0.0989       1.0047
Sella  19 02:46:17     -754.848853       2.3242       0.0000       0.0643      -3.0801
