     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 02:39:41     -757.043288       4.8421       0.0000       0.1000       1.0000
Sella   1 02:40:08     -757.098409       4.8421       0.0000       0.1000       0.5765
Sella   2 02:40:13     -756.942694       4.7163       0.0000       0.1000       1.5192
Sella   3 02:40:17     -756.951126       4.0830       0.0000       0.1000       0.7191
Sella   4 02:40:32     -757.270358       3.7819       0.0000       0.1000       0.7249
Sella   5 02:40:37     -757.608561       2.0429       0.0000       0.1000       0.8794
Sella   6 02:40:42     -757.787015       1.6476       0.0000       0.1150       0.9703
Sella   7 02:40:51     -757.904873       1.3114       0.0000       0.1150       0.8930
Sella   8 02:40:54     -757.949935       0.3333       0.0000       0.1150       0.6959
Sella   9 02:40:56     -757.966702       0.7381       0.0000       0.1150       0.4325
Sella  10 02:41:03     -757.990005       0.4731       0.0000       0.1150       1.2854
Sella  11 02:41:07     -758.001263       0.3021       0.0000       0.1322       0.9707
Sella  12 02:41:09     -758.006120       0.1763       0.0000       0.1322       0.9239
Sella  13 02:41:15     -758.007963       0.2119       0.0000       0.1322       1.3044
Sella  14 02:41:20     -758.009552       0.0773       0.0000       0.1322       1.2732
Sella  15 02:41:23     -758.012070       0.0470       0.0000       0.1322       1.5003
Sella  16 02:41:32     -758.015409       0.1032       0.0000       0.1322       1.1310
Sella  17 02:41:35     -758.017856       0.1132       0.0000       0.1521       1.0134
Sella  18 02:41:37     -758.018964       0.0874       0.0000       0.1521       1.1194
Sella  19 02:41:44     -758.019420       0.0698       0.0000       0.1521       1.3512
Sella  20 02:41:48     -758.019614       0.0335       0.0000       0.1521       1.1137
