     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 02:42:11     -753.121002       6.5828       0.0000       0.1000       1.0000
Sella   1 02:43:36     -753.351448       6.5828       0.0000       0.1000       1.0000
Sella   2 02:43:49     -753.952308       6.1461       0.0000       0.1000       0.9208
Sella   3 02:43:53     -754.361492       4.3500       0.0000       0.1000       1.0000
Sella   4 02:44:11     -754.745424       2.6173       0.0000       0.1150       1.0022
Sella   5 02:44:15     -754.858863       1.6616       0.0000       0.1150       1.2792
Sella   6 02:44:18     -754.942577       1.1623       0.0000       0.1150       0.6862
Sella   7 02:44:21     -755.023414       0.5865       0.0000       0.1150       1.0614
Sella   8 02:44:23     -755.134286       0.6319       0.0000       0.1150       1.0554
Sella   9 02:44:25     -755.278814       0.9512       0.0000       0.1322       0.9970
Sella  10 02:44:28     -755.491284       0.7408       0.0000       0.1521       0.9866
Sella  11 02:44:31     -755.788600       0.9106       0.0000       0.1521       0.9644
Sella  12 02:44:35     -756.158829       1.0919       0.0000       0.1521       0.9025
Sella  13 02:44:38     -756.568237       1.2846       0.0000       0.1521       0.9319
Sella  14 02:44:40     -756.989902       1.4074       0.0000       0.1521       0.9509
Sella  15 02:44:43     -757.344856       1.3261       0.0000       0.1521       0.9030
Sella  16 02:44:45     -757.550876       1.0879       0.0000       0.1521       0.8669
Sella  17 02:44:48     -757.720501       1.0399       0.0000       0.1749       0.9978
Sella  18 02:44:51     -757.840745       1.0733       0.0000       0.1749       0.7954
Sella  19 02:44:54     -757.868390       0.8218       0.0000       0.1749       0.4028
Sella  20 02:44:59     -757.882526       0.7829       0.0000       0.1749       0.7320
Sella  21 02:45:04     -757.855056       0.3168       0.0000       0.0616      -1.4373
Sella  22 02:45:06     -757.890231       1.0387       0.0000       0.0631       1.0170
Sella  23 02:45:09     -757.891924       0.1655       0.0000       0.0631       1.3490
Sella  24 02:45:11     -757.893056       0.0654       0.0000       0.0631       0.5507
Sella  25 02:45:13     -757.894597       0.1179       0.0000       0.0631       1.3784
Sella  26 02:45:16     -757.895990       0.0703       0.0000       0.0631       1.2736
Sella  27 02:45:18     -757.897571       0.0791       0.0000       0.0631       1.1711
Sella  28 02:45:20     -757.899456       0.0530       0.0000       0.0631       0.9073
Sella  29 02:45:23     -757.901328       0.0801       0.0000       0.0631       0.8761
