---------------------
  #    meV     cm^-1
---------------------
  0   53.0i    427.5i
  1    6.7i     53.9i
  2    1.5i     12.1i
  3    1.3i     10.1i
  4    1.0i      8.3i
  5    0.0       0.1
  6    0.0       0.2
  7    0.1       0.5
  8    7.4      59.6
  9   17.8     143.2
 10   23.4     189.0
 11   24.7     199.3
 12   26.7     215.2
 13   33.7     271.7
 14   39.1     315.0
 15   49.3     397.5
 16   55.7     449.6
 17   65.5     528.3
 18   67.9     547.4
 19   73.0     588.9
 20   80.1     646.0
 21   86.4     696.5
 22  101.0     814.9
 23  106.1     855.8
 24  119.3     962.2
 25  120.3     970.5
 26  127.3    1026.7
 27  131.8    1062.7
 28  135.9    1095.9
 29  138.2    1114.4
 30  139.7    1127.1
 31  145.9    1176.5
 32  146.4    1180.6
 33  159.3    1285.2
 34  165.9    1338.4
 35  172.3    1389.9
 36  173.5    1399.1
 37  178.5    1439.7
 38  179.9    1450.7
 39  180.6    1456.6
 40  181.7    1465.7
 41  182.1    1468.6
 42  185.0    1492.0
 43  369.1    2976.6
 44  370.6    2988.8
 45  371.3    2994.5
 46  372.9    3007.4
 47  375.0    3024.7
 48  375.6    3029.6
 49  389.0    3137.5
 50  391.0    3153.7
---------------------
Zero-point energy: 3.418 eV
