     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 02:47:57     -754.276101       3.9304       0.0000       0.1000       1.0000
Sella   1 02:48:23     -755.125402       3.9304       0.0000       0.1150       0.9858
Sella   2 02:48:26     -756.013326       3.0970       0.0000       0.1150       0.9436
Sella   3 02:48:30     -756.725553       2.5643       0.0000       0.1150       0.9144
Sella   4 02:48:32     -757.306338       2.6678       0.0000       0.1150       0.9199
Sella   5 02:48:35     -757.768343       2.3968       0.0000       0.1150       0.8988
Sella   6 02:48:38     -757.931019       1.9204       0.0000       0.1150       0.5461
Sella   7 02:48:41     -757.984274       1.9045       0.0000       0.1150       0.4956
Sella   8 02:48:44     -758.011120       1.8284       0.0000       0.1150       0.7849
Sella   9 02:48:48     -758.191256       1.5431       0.0000       0.1150       0.5425
Sella  10 02:48:54     -758.394580       1.9744       0.0000       0.1150       0.8422
Sella  11 02:48:58     -758.563249       1.0510       0.0000       0.1322       1.0147
Sella  12 02:49:02     -758.621675       0.7943       0.0000       0.1322       0.5329
Sella  13 02:49:05     -758.691721       1.1514       0.0000       0.1322       0.8362
Sella  14 02:49:08     -758.704359       0.6950       0.0000       0.1322       0.3035
Sella  15 02:49:11     -758.733469       0.9629       0.0000       0.1322       1.0044
