     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 02:50:28     -756.013326       2.5642       0.0000       0.1000       1.0000
Sella   1 02:50:46     -756.528478       2.5642       0.0000       0.1150       0.9800
Sella   2 02:50:48     -757.103946       2.3397       0.0000       0.1150       0.9379
Sella   3 02:50:50     -757.450410       2.2345       0.0000       0.1150       0.9289
Sella   4 02:50:52     -757.626088       1.8456       0.0000       0.1150       0.8244
Sella   5 02:50:53     -757.726306       1.1118       0.0000       0.1150       1.0359
Sella   6 02:50:54     -757.859107       0.7755       0.0000       0.1150       0.9453
Sella   7 02:50:56     -757.909290       0.7571       0.0000       0.1150       0.3962
Sella   8 02:50:57     -757.980048       1.0456       0.0000       0.1150       0.9554
Sella   9 02:50:58     -757.996705       0.7216       0.0000       0.1150       0.8595
Sella  10 02:50:59     -758.008848       0.3864       0.0000       0.1150       0.9943
Sella  11 02:51:01     -758.013232       0.2892       0.0000       0.1150       1.0234
Sella  12 02:51:02     -758.015445       0.1715       0.0000       0.1150       0.7766
Sella  13 02:51:04     -758.015795       0.1164       0.0000       0.1150       0.3940
Sella  14 02:51:06     -758.016486       0.1014       0.0000       0.1150       1.2045
