---------------------
  #    meV     cm^-1
---------------------
  0   47.9i    385.9i
  1    0.9i      7.1i
  2    0.1i      1.2i
  3    0.1i      0.5i
  4    0.0       0.4
  5    0.4       2.9
  6    0.5       4.4
  7    7.3      58.7
  8   10.9      87.8
  9   13.0     105.1
 10   20.8     167.5
 11   27.0     217.5
 12   31.5     254.0
 13   34.9     281.5
 14   41.6     335.8
 15   52.5     423.1
 16   58.7     473.5
 17   61.7     497.9
 18   69.7     562.3
 19   79.4     640.6
 20   87.0     702.0
 21   87.4     705.1
 22   96.2     775.8
 23   98.5     794.6
 24  118.2     953.0
 25  121.4     978.8
 26  127.6    1028.9
 27  131.8    1062.8
 28  134.4    1084.0
 29  135.2    1090.4
 30  140.2    1130.5
 31  142.7    1150.7
 32  147.2    1187.1
 33  160.6    1295.5
 34  171.3    1381.2
 35  172.4    1390.6
 36  172.7    1393.2
 37  179.5    1448.1
 38  180.3    1454.6
 39  181.5    1464.0
 40  182.2    1469.5
 41  184.1    1484.7
 42  186.5    1503.8
 43  367.8    2966.3
 44  371.0    2992.5
 45  373.4    3012.0
 46  374.3    3019.0
 47  375.1    3025.3
 48  375.3    3026.9
 49  386.9    3120.8
 50  389.1    3138.3
---------------------
Zero-point energy: 3.431 eV
